Index,country,year,Lnrgdpo,Lnlabor_stock,Lncapital_stock,RL,GS,RE,MO,LnRL,LnGS,LnRE,LnMO
415,Netherlands,2015,13.6821194412149,10.644137731199,15.1949006611303,86.5,37.8,76.8,86,4.46014441393783,3.63230910262554,4.34120464015363,4.45434729625351
416,Netherlands,2016,13.680201371715,10.6687787590504,15.2064913774539,86.5,43.55,75.8,86,4.46014441393783,3.77390970329851,4.32809829264833,4.45434729625351
417,Netherlands,2017,13.7355214217724,10.6926900688135,15.2204429865212,81,57.7333333333333,78.8333333333333,85.6666666666667,4.39444915467244,4.05583470746023,4.36733591926388,4.45046379622711
418,Netherlands,2018,13.7503736578337,10.7188048318291,15.2358457928495,82.6666666666667,59.9333333333333,76.5,85.6333333333333,4.41481645749687,4.09323283336941,4.33729074083249,4.45007461544773
419,Netherlands,2019,13.7642992996854,10.7418143478742,15.2528473371126,83.9333333333333,62.6,75.2333333333333,85.3333333333333,4.43002283294214,4.13676527810605,4.32059439515538,4.44656515581145
420,Norway,2000,12.4438282316852,9.33351579416159,13.7536226591158,90,49.6,75.2,67,4.49980967033027,3.90399083373088,4.32015123095579,4.20469261939097
421,Norway,2001,12.4560179859962,9.32436831198121,13.7760036225517,89.5,46.6,75.15,60.3333333333333,4.49423862528081,3.8416005411316,4.31948611619898,4.09988474259772
422,Norway,2002,12.4190638987222,9.31348061203563,13.7966490779819,90.5,46.5,74.65,60.9333333333333,4.50534985070588,3.83945231259331,4.3128105239852,4.10978037035194
423,Norway,2003,12.4925662776915,9.29204078308241,13.816062909041,88,46.15,77.05,60.9333333333333,4.47733681447821,3.83189696094886,4.34445456176613,4.10978037035194
424,Norway,2004,12.558334083012,9.31276124866179,13.8402142663103,87.5,41.25,78.15,60.6,4.47163879336357,3.71965111278069,4.35863005686749,4.10429489307527
425,Norway,2005,12.7752668776386,9.33151696309555,13.8698168978986,89,39.35,68.2666666666667,61.2,4.48863636973214,3.67249597486341,4.22342160449724,4.11414718951828
426,Norway,2006,12.8611732733406,9.36558410497101,13.9026963644328,89.5,42.85,76.9,61.4,4.49423862528081,3.75770564504379,4.3425058765116,4.1174098351531
427,Norway,2007,12.8773971050904,9.41398280941764,13.9412744624772,89.5,44.1,74.2,63.0666666666667,4.49423862528081,3.7864597824528,4.30676415017333,4.14419236794967
428,Norway,2008,13.0058589146501,9.45155136932084,13.9766342066116,89,48.31165,71.5773385366667,65.4,4.48863636973214,3.87767273240244,4.27077852298508,4.18052225846315
429,Norway,2009,12.8369512267297,9.43970581391189,14.0042128313849,88.5,50.4256,71.59077238,69.7333333333333,4.48300255201388,3.92049898262918,4.2709661882869,4.24467844352266
430,Norway,2010,12.9192470758284,9.44897463404473,14.0256047479246,84.5,50.15,70.0333333333334,71.4,4.43675153436313,3.91501851440794,4.24897131918285,4.26829786934554
431,Norway,2011,13.0142144638872,9.46924916283722,14.0502054348874,88,51.55,69.7333333333333,71.4666666666667,4.47733681447821,3.94255221046297,4.24467844352266,4.26923114052854
432,Norway,2012,13.0701256239978,9.48947286156682,14.0782703956744,88,43.9,69.9333333333333,71.4333333333333,4.47733681447821,3.78191432008113,4.24754240729409,4.26876461381142
433,Norway,2013,13.0496606193977,9.49717256869913,14.1088086257803,90,45.65,71.4,73.1,4.49980967033027,3.82100360704098,4.26829786934554,4.29182836675573
434,Norway,2014,12.9868404315249,9.51324827236091,14.1374778291005,89.05,46.4,71.4,74.7,4.48919800973567,3.83729945923221,4.26829786934554,4.31348009213877
435,Norway,2015,12.8159396895841,9.52378524933285,14.1623724593205,88,47.95,74,74.8,4.47733681447821,3.87015880132945,4.30406509320417,4.31481788498043
