Index,country,year,delta_Lnrgdpo,delta_Lnlabor_stock,delta_Lncapital_stock,delta_RL,delta_GS,delta_RE,delta_MO
178,Finland,2018,0.0104769410981991,0.0293590196913804,0.0208745645755002,-0.599999999999994,2,-0.766666666666609,-0.033333333333303
179,Finland,2019,0.0181063329656013,0.0177586059933788,0.0192337596943997,0.599999999999994,3.5,-0.633333333333397,-0.299999999999997
181,France,2001,0.0263938377407005,0.00590484427380034,0.021683780209802,-0.5,2.6,0.549999999999997,0.0666666666665989
182,France,2002,0.00530401068239961,-0.0119447652649995,0.0193801173981996,0.5,0.0500000000000007,-1.15000000000001,0.533333333333403
183,France,2003,-0.0244808524924007,0.00861738829000025,0.0190644996687013,0,2.05,2.15000000000001,0.599999999999994
184,France,2004,0.0202971629152007,0.0226523866679997,0.0197406219215992,-2,0.899999999999999,-0.299999999999997,6.1333333333333
185,France,2005,0.0809522428651004,0.0127816436549999,0.0201621874244999,3,-1.55,-8.10000000000001,0.133333333333312
186,France,2006,0.0249819855265994,0.00472865928669997,0.0209637556597002,1,1.05,6.60000000000001,-5.93333333333331
187,France,2007,0.0456655709141991,0.0340781682249993,0.0225568148289987,2,1,-1.93333333333331,3.06666666666671
188,France,2008,0.00871839155080068,0.0146093534631007,0.0211935233696998,-0.5,3.2912,0.432864100000003,6.4666666666666
189,France,2009,-0.0320657532284994,-0.012916503439401,0.0149560701793021,-0.5,-0.517774500000002,-3.9815803966667,-0.066666666666606
190,France,2010,0.0409935002137001,0.0125911353797008,0.0155253219506974,3,2.2265745,2.34871629666671,-2.76666666666669
191,France,2011,0.0282507014029001,0.0186067131597003,0.015651591563703,0,-0.549999999999997,0,1.7
192,France,2012,0.0131233768794985,0.00667252167929888,0.0148464870188967,-0.5,-4.8,-1.0333333333333,-0.1666666666667
193,France,2013,-0.00960735319839934,-0.00313714168919965,0.0136394686478027,1,-0.25,-0.6666666666667,3.23333333333339
194,France,2014,0.00199986268710006,0.00433165038450056,0.0129338235489982,-0.0499999999999972,-2.3,-2.60000000000001,2
195,France,2015,0.0183822038345003,0.00971008159690001,0.012545919245202,0.549999999999997,-2,-2.19999999999999,0.066666666666606
196,France,2016,0.012889842771699,0.0150832163948991,0.0129582933164976,-1,0.100000000000001,-0.0666666666667055,0
197,France,2017,0.0369307306525002,0.00583679843410145,0.0142576307816995,1.3,10.4333333333333,0.900000000000006,-0.3333333333333
198,France,2018,0.0112005638744002,0.0102542395593996,0.0147234541969006,-1.8666666666667,1.4,1.03333333333329,1.6333333333333
199,France,2019,0.0153248823860999,0.0248042711120995,0.0157078865772995,-1.76666666666659,2.1333333333334,-0.433333333333295,-0.299999999999997
201,Germany,2001,0.0134634426662998,-0.00674300433949959,0.018928319095199,0.5,5.90000000000001,0.650000000000006,6.6666666666667
202,Germany,2002,-0.00354686103120017,-0.0094855846682993,0.0141620741802981,-2,5.7,-0.700000000000003,0.533333333333303
203,Germany,2003,0.0241188117772992,-0.0118595948888007,0.0125859726678002,-1,-2.05,-0.700000000000003,0.599999999999994
204,Germany,2004,0.0284040682726996,0.00563067529970063,0.0118315211688014,-0.5,0.0499999999999972,0.25,-0.533333333333303
205,Germany,2005,0.0485740491530002,-0.00592215191910128,0.0115093849499992,2,0.600000000000001,-9.6166666666667,0.133333333333312
206,Germany,2006,0.0228641436175998,0.023528759925501,0.0141238006806006,2.5,2.75,4.60000000000001,0.733333333333292
207,Germany,2007,0.0546925572079005,0.0189306991516993,0.0143222882551015,0,1.3,-1.9999999999999,1.40000000000001
208,Germany,2008,0.0229869651690002,0.0109970134891011,0.0136758586204984,-1,-1.33065,1.0270228433333,-0.200000000000003
209,Germany,2009,-0.0696989162488002,-0.0251548165711011,0.00809359367000084,-1,2.092,-1.08132968,-0.066666666666606
210,Germany,2010,0.0486208343007011,0.0220288679029999,0.0104674898643005,0.5,1.53865,-1.67902649666671,2.23333333333331
211,Germany,2011,0.0501290290020986,0.0159573241668003,0.0132154366103983,0.5,0.75,1.56666666666671,0.033333333333303
212,Germany,2012,-0.00785086911739974,-0.00173856623809954,0.0123316975247008,-0.5,-3.85,0.433333333333295,-0.1666666666666
213,Germany,2013,0.00227736187379968,5.58083174002633E-05,0.0111528496693012,0.5,2.8,0.566666666666706,3.23333333333329
214,Germany,2014,0.0343610468189013,0.0114436983459996,0.0121665239030975,0.0499999999999972,0.150000000000006,0,2
215,Germany,2015,-0.0108491419244015,0.00575564535600037,0.0122015096617005,-1.05,0.75,1.26666666666659,0.0666666666667055
216,Germany,2016,0.0294386909502009,0.0055166317394999,0.0132072254325024,0.5,0.949999999999996,1,0
217,Germany,2017,0.0453897619656001,0.0136094793178003,0.013519710945598,-4.4666666666666,13,-2.8666666666666,-3.6666666666667
218,Germany,2018,0.0062384688843995,0.0158752152907997,0.0141866331859006,-1.93333333333341,0.0666666666666913,3.43333333333331,-0.033333333333303
219,Germany,2019,0.0028767898383002,0.00895773848099957,0.0144339862784015,0.766666666666708,0.5,-3.8666666666667,-0.299999999999997
221,Greece,2001,0.0373805720283986,0.0075327106812999,0.0252114094303,0,-0.649999999999999,1.40000000000001,6.7333333333333
222,Greece,2002,0.0401399796330004,0.0285249063907003,0.0223665029683993,-10,-0.399999999999999,0.199999999999989,-6.1333333333333
223,Greece,2003,0.00584107127439992,0.0213014957503006,0.0276427965370996,-3.5,1.5,-0.0999999999999943,0.599999999999994
224,Greece,2004,0.0454790051362011,0.0260140973212,0.0269576769440008,0,2.05,-0.200000000000003,-0.533333333333395
225,Greece,2005,0.0211685133480994,0.0383634598750007,0.0189713390516992,0.5,0.400000000000006,-5.98333333333329,0.133333333333397
226,Greece,2006,0.0752034652897997,0.0138664920130989,0.0265591408548005,0,1.25,2.09999999999999,0.733333333333299
227,Greece,2007,0.000647353934599693,0.00574472370639967,0.0318645035425007,0,0.449999999999996,-1.4666666666667,-3.59999999999999
228,Greece,2008,0.0292181846043995,0.0080820435163016,0.0241993835995995,0.5,3.7912,0.528611226666698,3.1333333333333
229,Greece,2009,-0.032995498341899,-0.0201080211494009,0.0152410961844005,1,-5.2668,3.68255136000001,-0.0666666666665989
230,Greece,2010,-0.0784796598296005,-0.0563209284621991,0.00566951957110007,5.5,-2.5244,-2.8778292533334,7.2333333333333
231,Greece,2011,-0.098370206484999,-0.0591633618600014,-0.00349499140719978,-9.5,-3.8,0.633333333333397,0.033333333333303
232,Greece,2012,-0.0433754886343003,-0.0485225877083995,-0.00803867041380002,-1.5,-9.35,-8.8333333333334,-0.1666666666666
233,Greece,2013,0.00123088570969898,-0.0141157620568002,-0.00809635971220146,-5.5,4.7,2.3666666666667,-1.76666666666671
234,Greece,2014,-0.0123822860945992,0.000547656960000253,-0.00823803677669943,-0.399999999999999,-2.90000000000001,4.4666666666667,-1.3333333333333
