Index,country,year,Lnrgdpo,Lnlabor_stock,Lncapital_stock,RL,GS,RE,MO,LnRL,LnGS,LnRE,LnMO,d_Lnrgdpo,d_Lnlabor_stock,d_Lncapital_stock,d_RL,d_GS,d_RE,d_MO
432,Norway,2012,13.0701256239978,9.48947286156682,14.0782703956744,88.0,43.9,69.9333333333333,71.4333333333333,4.47733681447821,3.78191432008113,4.24754240729409,4.26876461381142,0.05591116011060038,0.02022369872960006,0.028064960786998938,0.0,-7.649999999999999,0.19999999999998863,-0.03333333333340249
433,Norway,2013,13.0496606193977,9.49717256869913,14.1088086257803,90.0,45.65,71.4,73.1,4.49980967033027,3.82100360704098,4.26829786934554,4.29182836675573,-0.02046500460009959,0.007699707132308831,0.03053823010590051,2.0,1.75,1.4666666666667112,1.6666666666666998
434,Norway,2014,12.9868404315249,9.51324827236091,14.1374778291005,89.05,46.4,71.4,74.7,4.48919800973567,3.83729945923221,4.26829786934554,4.31348009213877,-0.0628201878728003,0.01607570366178024,0.02866920332020051,-0.9500000000000028,0.75,0.0,1.6000000000000085
435,Norway,2015,12.8159396895841,9.52378524933285,14.1623724593205,88.0,47.95,74.0,74.8,4.47733681447821,3.87015880132945,4.30406509320417,4.31481788498043,-0.17090074194079996,0.010536976971939893,0.024894630219998604,-1.0499999999999972,1.5500000000000043,2.5999999999999943,0.09999999999999432
436,Norway,2016,12.7747772724076,9.53222061403959,14.1883551645312,88.0,47.5,71.4333333333333,74.2666666666667,4.47733681447821,3.8607297110406,4.26876461381142,4.30766221938502,-0.04116241717649949,0.00843536470673989,0.02598270521070134,0.0,-0.45000000000000284,-2.5666666666667055,-0.533333333333303
437,Norway,2017,12.8176020309611,9.53729314633848,14.2139855587142,86.1,64.1666666666667,71.3666666666667,74.2333333333333,4.45550941143369,4.16148386505973,4.26783090692753,4.30721328559521,0.042824758553498654,0.005072532298889598,0.025630394182998728,-1.9000000000000057,16.6666666666667,-0.06666666666659182,-0.03333333333338828
438,Norway,2018,12.90336084958,9.558730312303,14.2394521220617,88.6666666666667,61.1333333333333,72.9666666666667,74.3,4.48488402011359,4.11305727115425,4.29000271586071,4.30811095172371,0.08575881861890089,0.021437165964520943,0.02546656334749997,2.5666666666667055,-3.0333333333334025,1.5999999999999943,0.0666666666666913
439,Norway,2019,12.8898103833056,9.57962877777925,14.2670855703947,86.5333333333334,60.0,72.8333333333333,72.7333333333333,4.46052969616183,4.0943445622221,4.28817372586753,4.28679978473086,-0.013550466274400819,0.020898465476250294,0.027633448333000743,-2.1333333333332973,-1.1333333333332973,-0.1333333333333968,-1.5666666666666913
441,Poland,2001,13.2797863759234,11.403036547584,14.0828972682016,56.0,52.9,70.45,65.8666666666667,4.02535169073515,3.96840333886425,4.25490323834469,4.18763249664566,0.0041543146788001195,-0.01540740293419951,0.03933546817450129,-2.0,7.0,2.0,0.9333333333334082
442,Poland,2002,13.3023525287542,11.3757583343301,14.1140139918128,55.5,57.45,70.2,72.9333333333333,4.01638302075239,4.05091500429476,4.25134831103177,4.28954578187972,0.02256615283079988,-0.027278213253898898,0.031116723611200214,-0.5,4.550000000000004,-0.25,7.066666666666592
