Index,country,year,rgdpo,Lnrgdpo,labor_stock,capital_stock,capital_labor_ratio,Lncap_lab_ratio,Overall_Score,Property_Rights,Judicial_Effectiveness,Government_Integrity,Rule_of_law,Tax_Burden,Government_Spending,Fiscal_Health,Government_size,Business_Freedom,Labor_Freedom,Monetary_Freedom,Regulatory_efficiency,Trade_Freedom,Investment_Freedom,Financial_Freedom,Market_openness
336,Latvia,2016,50344.99609375,10.8266545107601,5287.14147470695,394414.413252696,74.598800720489,4.31212443094764,70.4,50,,55,52.5,84.8,58.4,,71.6,78.6,59.5,84.8,74.3,88,85,60,77.6666666666667
337,Latvia,2017,52996.41015625,10.8779794573393,5249.70673825048,396382.642300791,75.5056733765075,4.32420779749151,74.8,72.6,59.7,67.3,66.5333333333334,84.7,57.4,95,79.0333333333333,79.8,72,86.5,79.4333333333333,87,75,60,74
338,Latvia,2018,54939.5859375,10.91398942299,5375.21316870053,399949.977300023,74.4063471991962,4.30954125001735,73.6,68.3,58.9,45.4,57.5333333333333,84,59,95.3,79.4333333333333,80.1,72.5,87.3,79.9666666666667,86.9,85,60,77.3
339,Latvia,2019,56079.4453125,10.9345246306556,5277.90180226117,403379.55647907,76.4280146906586,4.33634931339287,70.4,67.3,48.4,35.5,50.4,77,57.1,96.9,77,77.5,73.3,81.1,77.3,86,85,60,77
340,Lithuania,2000,42412.74609375,10.6552042114629,7514.80505831731,211919.206169443,28.2002266891665,3.33933001653468,61.9,50,,30,40,70.5,63.3,,66.9,70,,72.3,71.15,81,70,50,67
341,Lithuania,2001,45366.3359375,10.7225256098089,7253.18959408146,215136.555170331,29.6609584486638,3.3898316507077,65.5,50,,38,44,71,73,,72,70,,84.8,77.4,82.8,70,50,67.6
342,Lithuania,2002,46322.5234375,10.7433835891201,7478.34713050517,219053.680609995,29.2917240651274,3.37730502100996,66.1,50,,41,45.5,74.1,69.3,,71.7,70,,87.7,78.85,82.8,70,50,67.6
343,Lithuania,2003,51015.4609375,10.8398840214013,7656.38743087949,224269.141136643,29.2917701933588,3.37730659579589,69.7,50,,48,49,78.8,71.5,,75.15,70,,88.1,79.05,80.4,70,70,73.4666666666667
344,Lithuania,2004,51513.88671875,10.8496066953284,8068.03391993606,230791.158214377,28.6056256709697,3.35360340026471,72.4,50,,48,49,82.8,70.6,,76.7,70,,90.1,80.05,80.2,70,90,80.0666666666667
345,Lithuania,2005,58152.4375,10.9708230745232,8267.21144509326,238138.395332044,28.8051656732916,3.36055473471412,70.5,50,,47,48.5,82.8,65.1,,73.95,70,55.8,90.1,71.9666666666667,84,70,90,81.3333333333333
346,Lithuania,2006,61805.03515625,11.0317401151471,8290.47811969516,247663.981174396,29.8733049648894,3.39696527106511,71.8,50,,46,48,82.9,63.9,,73.4,85.2,57.1,90.4,77.5666666666667,82.4,70,90,80.8
347,Lithuania,2007,67008.109375,11.1125689264967,8620.47860743205,260095.630805377,30.1718318262676,3.40690876814142,71.5,50,,48,49,86.5,70.8,,78.65,84.3,57.3,81.1,74.2333333333333,86.6,70,80,78.8666666666667
348,Lithuania,2008,70758.921875,11.1670339117953,8647.65129089098,270489.162633419,31.2789164982102,3.44294427627315,70.90432441,50,,48,49,86.3391,68.3125,,77.3258,84.15586318,57.7,78.50670145,73.45418821,86,70,80,78.6666666666667
349,Lithuania,2009,60991.7109375,11.0184932476516,7704.28587986142,272662.487102582,35.3910136973638,3.56645793755732,69.9526597,50,,48,49,87.6219,65.32,,76.47095,82.40668052,54.6,75.79195567,70.93287873,85.8,70,80,78.6
350,Lithuania,2010,65531.7421875,11.0902899177857,7625.03999942588,275073.323466696,36.0750007196562,3.58560012460882,70.3,55,,46,50.5,84.6,63.5,,74.05,82,58.5,70.8,70.4333333333333,87.5,75,80,80.8333333333333
351,Lithuania,2011,72970.46875,11.1978101006119,7676.13077935031,279779.384324364,36.4479699951183,3.59588576404007,71.3,60,,49,54.5,86.1,58,,72.05,81.7,55.6,74.5,70.6,87.6,80,80,82.5333333333333
352,Lithuania,2012,77256.609375,11.2548877493525,7859.24683975062,283825.283292551,36.1135474021525,3.5866680692389,71.5,60,,50,55,93.6,41.7,,67.65,79.2,64.6,79.3,74.3666666666667,87.1,80,80,82.3666666666667
